,ride_date
6777,2021-11-06
6778,2017-09-22
6779,2019-07-31
6780,2019-05-08
6781,2021-11-06
6782,2019-11-10
6783,2019-06-30
6784,2017-11-24
6785,2021-11-06
6786,2021-11-06
6787,2017-07-04
6788,2021-11-06
6789,2019-04-01
6790,2017-07-14
6791,2017-11-06
6792,2018-08-23
6793,2019-12-12
6794,2021-11-06
6795,2021-11-06
6796,2019-12-16
6797,2017-07-09
6798,2019-11-02
6799,2018-05-30
6800,2021-11-06
6801,2019-02-08
6802,2021-11-06
6803,2017-05-24
6804,2021-11-06
6805,2019-04-11
6806,2020-01-26
6807,2020-02-18
6808,2021-11-06
6809,2021-11-06
6810,2018-09-24
6811,2019-08-02
6812,2018-01-27
6813,2018-08-11
6814,2017-12-29
6815,2021-11-06
6816,2021-11-06
6817,2019-04-16
6818,2017-08-24
6819,2019-11-17
6820,2021-11-06
6821,2019-10-03
6822,2017-02-19
6823,2019-11-11
6824,2018-12-08
6825,2017-08-13
6826,2019-06-01
6827,2021-11-06
6828,2018-11-07
6829,2017-04-30
6830,2019-02-20
6831,2020-01-11
6832,2021-11-06
6833,2017-06-19
6834,2018-03-19
6835,2021-11-06
6836,2019-09-24
6837,2018-07-20
6838,2019-04-20
6839,2019-03-08
6840,2018-08-21
6841,2021-11-06
6842,2021-11-06
6843,2021-11-06
6844,2018-05-01
6845,2019-03-19
6846,2018-07-03
6847,2017-10-21
6848,2018-11-29
6849,2021-11-06
6850,2019-11-13
6851,2021-11-06
6852,2019-03-14
6853,2019-10-05
6854,2021-11-06
6855,2018-07-31
6856,2017-03-04
6857,2017-03-06
6858,2017-03-30
6859,2017-12-08
6860,2017-07-30
6861,2017-04-19
6862,2019-09-05
6863,2019-04-14
6864,2019-05-24
6865,2017-04-15
6866,2018-03-15
6867,2017-07-26
6868,2018-10-27
6869,2018-01-11
6870,2019-09-21
6871,2021-11-06
6872,2017-11-05
6873,2020-01-30
6874,2021-11-06
6875,2018-03-07
6876,2021-11-06
6877,2019-10-06
6878,2019-01-26
6879,2021-11-06
6880,2017-05-23
6881,2017-04-16
6882,2017-07-06
6883,2021-11-06
6884,2017-06-06
6885,2021-11-06
6886,2019-11-06
6887,2020-01-26
6888,2017-10-25
6889,2017-03-19
6890,2017-02-12
6891,2017-05-13
6892,2021-11-06
6893,2018-08-16
6894,2017-02-25
6895,2019-09-03
6896,2021-11-06
6897,2018-06-01
6898,2018-09-23
6899,2020-01-06
6900,2017-02-08
6901,2021-11-06
6902,2021-11-06
6903,2021-11-06
6904,2018-02-22
6905,2021-11-06
6906,2018-02-03
6907,2019-03-02
6908,2019-12-11
6909,2017-12-16
6910,2017-08-25
6911,2019-09-09
6912,2021-11-06
6913,2019-06-17
6914,2017-05-30
6915,2019-10-23
6916,2018-01-21
6917,2017-08-27
6918,2019-01-18
6919,2020-01-14
6920,2020-01-05
6921,2018-10-18
6922,2019-04-28
6923,2018-01-20
6924,2018-08-02
6925,2017-09-30
6926,2019-05-28
6927,2018-12-11
6928,2021-11-06
6929,2018-12-15
6930,2021-11-06
6931,2019-08-20
6932,2018-02-23
6933,2021-11-06
6934,2018-04-13
6935,2017-03-28
6936,2018-12-08
6937,2019-01-02
6938,2018-01-25
6939,2018-05-23
6940,2021-11-06
6941,2017-02-19
6942,2019-04-23
6943,2021-11-06
6944,2021-11-06
6945,2017-03-08
6946,2021-11-06
6947,2018-01-11
6948,2018-07-05
6949,2021-11-06
6950,2017-11-26
6951,2021-11-06
6952,2018-10-04
6953,2021-11-06
6954,2018-12-04
6955,2021-11-06
6956,2017-11-06
6957,2021-11-06
6958,2021-11-06
6959,2017-02-24
6960,2017-03-30
6961,2018-04-22
6962,2017-08-01
6963,2017-05-06
6964,2017-05-13
6965,2021-11-06
6966,2017-11-13
6967,2017-07-10
6968,2019-04-18
6969,2021-11-06
6970,2017-03-27
6971,2017-06-12
6972,2017-11-25
6973,2017-03-20
6974,2018-09-07
6975,2017-04-06
6976,2019-12-02
6977,2019-07-01
6978,2017-04-07
6979,2017-07-31
6980,2018-02-09
6981,2017-06-03
6982,2018-08-16
6983,2019-01-16
6984,2018-03-06
6985,2018-11-16
6986,2018-07-28
6987,2021-11-06
6988,2019-10-08
6989,2019-11-11
6990,2017-11-19
6991,2021-11-06
6992,2021-11-06
6993,2021-11-06
6994,2019-05-15
6995,2019-03-07
6996,2018-10-07
6997,2019-03-23
6998,2019-08-03
6999,2019-09-08
7000,2017-06-18
7001,2017-09-28
7002,2021-11-06
7003,2019-07-02
7004,2018-08-22
7005,2021-11-06
7006,2018-01-14
7007,2017-12-26
7008,2018-08-11
7009,2021-11-06
7010,2018-05-12
7011,2021-11-06
7012,2017-09-18
7013,2019-05-12
7014,2018-04-16
7015,2017-07-24
7016,2020-01-27
7017,2019-04-08
7018,2019-05-16
7019,2021-11-06
7020,2018-04-16
7021,2018-01-03
7022,2018-07-30
7023,2019-08-15
7024,2019-01-24
7025,2019-02-15
7026,2017-11-13
7027,2019-12-09
7028,2020-01-18
7029,2020-01-24
7030,2018-02-20
7031,2019-10-11
7032,2020-01-03
7033,2019-12-12
7034,2019-06-01
7035,2017-01-27
7036,2019-01-31
7037,2021-11-06
7038,2020-01-02
7039,2021-11-06
7040,2019-02-15
7041,2021-11-06
7042,2019-12-16
7043,2018-07-02
7044,2021-11-06
7045,2018-09-19
7046,2021-11-06
7047,2017-08-15
7048,2018-03-07
7049,2019-06-11
7050,2021-11-06
7051,2019-10-10
7052,2021-11-06
7053,2021-11-06
7054,2018-03-23
7055,2019-12-01
7056,2019-04-03
7057,2021-11-06
7058,2019-09-14
7059,2017-02-01
7060,2017-01-01
7061,2021-11-06
7062,2017-10-20
7063,2021-11-06
7064,2018-03-23
7065,2021-11-06
7066,2021-11-06
7067,2018-03-15
7068,2019-12-16
7069,2018-01-19
7070,2018-08-01
7071,2019-01-28
7072,2021-11-06
7073,2019-05-09
7074,2018-10-17
7075,2018-06-17
7076,2019-07-13
7077,2021-11-06
7078,2018-07-18
7079,2019-11-24
7080,2017-10-24
7081,2017-03-03
7082,2019-07-04
7083,2017-01-17
7084,2019-05-23
7085,2019-08-10
7086,2019-08-13
7087,2017-04-15
7088,2018-05-26
7089,2019-01-15
7090,2018-06-24
7091,2018-01-14
7092,2017-03-23
7093,2019-10-04
7094,2017-08-24
7095,2017-03-01
7096,2021-11-06
7097,2019-03-30
7098,2019-05-05
7099,2019-03-24
7100,2019-04-09
7101,2018-06-05
7102,2017-02-07
7103,2021-11-06
7104,2021-11-06
7105,2019-06-28
7106,2018-04-01
7107,2020-02-03
7108,2017-05-18
7109,2017-08-14
7110,2021-11-06
7111,2018-01-16
7112,2018-11-05
7113,2021-11-06
7114,2018-09-09
7115,2019-05-25
7116,2021-11-06
7117,2020-02-19
7118,2019-05-24
7119,2018-05-30
7120,2017-06-17
7121,2017-11-26
7122,2017-07-30
7123,2018-06-11
7124,2018-09-28
7125,2018-11-19
7126,2018-01-05
7127,2020-02-16
7128,2018-01-05
7129,2017-01-10
7130,2017-07-25
7131,2017-11-21
7132,2017-09-05
7133,2018-11-21
7134,2019-02-11
7135,2018-08-03
7136,2021-11-06
7137,2021-11-06
7138,2019-03-29
7139,2021-11-06
7140,2018-08-26
7141,2017-03-16
7142,2017-09-28
7143,2019-09-24
7144,2017-08-19
7145,2018-06-24
7146,2017-03-28
7147,2018-03-13
7148,2019-05-07
7149,2019-03-22
7150,2017-02-28
7151,2021-11-06
7152,2017-11-20
7153,2019-10-27
7154,2018-08-15
7155,2021-11-06
7156,2021-11-06
7157,2021-11-06
7158,2017-12-07
7159,2017-06-16
7160,2019-08-06
7161,2019-12-07
7162,2018-12-18
7163,2019-08-03
7164,2018-01-18
7165,2017-02-03
7166,2019-06-15
7167,2018-12-21
7168,2017-09-20
7169,2021-11-06
7170,2021-11-06
7171,2017-06-05
7172,2019-04-02
7173,2018-10-30
7174,2018-11-24
7175,2018-07-12
7176,2019-03-19
7177,2018-06-18
7178,2017-04-13
7179,2019-03-04
7180,2021-11-06
7181,2017-11-17
7182,2018-11-21
7183,2018-12-25
7184,2021-11-06
7185,2017-04-03
7186,2021-11-06
7187,2018-12-31
7188,2017-06-12
7189,2021-11-06
7190,2021-11-06
7191,2019-10-31
7192,2019-12-22
7193,2019-08-07
7194,2018-11-23
7195,2021-11-06
7196,2018-12-22
7197,2017-04-24
7198,2017-07-13
7199,2018-03-15
7200,2017-02-06
7201,2017-01-29
7202,2019-04-07
7203,2021-11-06
7204,2019-08-19
7205,2021-11-06
7206,2019-01-29
7207,2017-07-03
7208,2018-08-11
7209,2021-11-06
7210,2021-11-06
7211,2021-11-06
7212,2018-07-30
7213,2021-11-06
7214,2021-11-06
7215,2021-11-06
7216,2021-11-06
7217,2018-02-25
7218,2021-11-06
7219,2018-01-07
7220,2021-11-06
7221,2020-02-14
7222,2018-10-31
7223,2018-11-11
7224,2017-05-23
7225,2019-11-30
7226,2021-11-06
7227,2020-01-05
7228,2021-11-06
7229,2018-02-05
7230,2020-01-30
7231,2019-01-06
7232,2021-11-06
7233,2018-11-12
7234,2019-03-08
7235,2019-08-11
7236,2019-03-09
7237,2019-08-19
7238,2019-08-15
7239,2017-02-19
7240,2019-04-16
7241,2017-03-27
7242,2018-04-21
7243,2021-11-06
7244,2021-11-06
7245,2017-10-17
7246,2019-11-10
7247,2017-11-06
7248,2017-07-18
7249,2017-04-05
7250,2017-05-22
7251,2017-02-04
7252,2021-11-06
7253,2019-07-19
7254,2018-07-08
7255,2020-01-21
7256,2019-12-14
7257,2019-03-19
7258,2019-03-25
7259,2018-05-09
7260,2018-11-10
7261,2017-10-10
7262,2018-11-02
7263,2019-06-24
7264,2018-10-09
7265,2017-10-29
7266,2021-11-06
7267,2019-09-28
7268,2021-11-06
7269,2017-09-22
7270,2019-11-11
7271,2019-01-29
7272,2017-02-27
7273,2019-01-08
7274,2018-11-30
7275,2018-07-31
7276,2018-04-01
7277,2019-08-03
7278,2019-09-04
7279,2019-04-18
7280,2018-03-07
7281,2019-10-08
7282,2020-01-06
7283,2020-02-08
7284,2017-11-06
7285,2019-09-06
7286,2021-11-06
7287,2017-05-05
7288,2021-11-06
7289,2018-02-11
7290,2018-12-28
7291,2019-09-13
7292,2017-05-31
7293,2019-02-17
7294,2021-11-06
7295,2018-01-20
7296,2019-12-29
7297,2021-11-06
7298,2018-02-12
7299,2017-11-15
7300,2021-11-06
7301,2018-08-10
7302,2019-09-21
7303,2021-11-06
7304,2018-12-26
7305,2018-11-30
7306,2017-04-19
7307,2020-02-08
7308,2017-02-06
7309,2019-04-29
7310,2021-11-06
7311,2021-11-06
7312,2017-05-30
7313,2021-11-06
7314,2017-04-29
7315,2017-09-17
7316,2021-11-06
7317,2021-11-06
7318,2021-11-06
7319,2019-08-19
7320,2021-11-06
7321,2017-04-26
7322,2019-06-10
7323,2018-04-16
7324,2021-11-06
7325,2017-04-27
7326,2017-04-17
7327,2018-09-24
7328,2019-03-01
7329,2021-11-06
7330,2019-10-04
7331,2019-05-28
7332,2018-06-15
7333,2017-03-22
7334,2018-04-10
7335,2019-09-10
7336,2017-09-19
7337,2021-11-06
7338,2019-03-01
7339,2021-11-06
7340,2018-01-14
7341,2017-04-14
7342,2019-02-01
7343,2018-04-18
7344,2021-11-06
7345,2019-11-13
7346,2018-03-10
7347,2021-11-06
7348,2018-01-14
7349,2020-01-28
7350,2017-05-13
7351,2017-09-29
7352,2017-05-24
7353,2017-04-10
7354,2018-10-31
7355,2020-02-09
7356,2018-05-12
7357,2018-01-19
7358,2021-11-06
7359,2018-12-23
7360,2017-12-14
7361,2018-08-22
7362,2019-05-30
7363,2017-06-14
7364,2021-11-06
7365,2017-08-03
7366,2019-08-31
7367,2021-11-06
7368,2018-02-05
7369,2019-04-06
7370,2019-08-13
7371,2017-11-12
7372,2020-01-16
7373,2017-01-19
7374,2019-05-31
7375,2017-09-20
7376,2017-01-20
7377,2017-11-05
7378,2018-11-04
7379,2018-11-17
7380,2019-03-23
7381,2020-02-11
7382,2019-01-01
7383,2019-08-19
7384,2018-08-22
7385,2020-01-02
7386,2018-09-15
7387,2019-07-25
7388,2020-02-15
7389,2019-05-18
7390,2021-11-06
7391,2018-08-14
7392,2020-02-13
7393,2019-11-25
7394,2018-07-31
7395,2019-06-25
7396,2019-01-24
7397,2018-10-24
7398,2018-10-28
7399,2020-01-15
7400,2018-11-01
7401,2018-04-19
7402,2017-05-10
7403,2017-07-26
7404,2021-11-06
7405,2020-01-28
7406,2019-07-10
7407,2018-05-09
7408,2021-11-06
7409,2018-10-29
7410,2019-07-12
7411,2019-03-20
7412,2020-02-07
7413,2017-06-30
7414,2017-11-23
7415,2017-11-14
7416,2018-11-16
7417,2017-02-18
7418,2017-05-20
7419,2017-01-22
7420,2019-08-11
7421,2019-06-24
7422,2018-02-07
7423,2020-02-19
7424,2021-11-06
7425,2018-05-18
7426,2019-05-16
7427,2019-08-27
7428,2019-09-07
7429,2019-02-17
7430,2019-05-02
7431,2017-07-21
7432,2019-08-21
7433,2018-08-16
7434,2021-11-06
7435,2018-02-13
7436,2017-01-13
7437,2017-09-29
7438,2020-01-23
7439,2017-10-15
7440,2018-10-28
7441,2019-10-31
7442,2018-03-01
7443,2018-07-05
7444,2019-12-08
7445,2018-12-21
7446,2017-10-21
7447,2020-02-18
7448,2017-11-05
7449,2018-02-09
7450,2017-07-07
7451,2019-01-06
7452,2019-04-27
7453,2018-06-21
7454,2019-02-02
7455,2021-11-06
7456,2019-06-08
7457,2021-11-06
7458,2021-11-06
7459,2019-04-29
7460,2018-06-14
7461,2018-09-17
7462,2017-10-31
7463,2018-09-01
7464,2017-08-10
7465,2021-11-06
7466,2017-12-09
7467,2017-07-07
7468,2018-05-04
7469,2017-03-16
7470,2021-11-06
7471,2018-10-23
7472,2017-05-06
7473,2018-06-01
7474,2018-07-22
7475,2021-11-06
7476,2017-07-31
7477,2021-11-06
7478,2018-10-23
7479,2017-03-04
7480,2017-05-06
7481,2017-01-24
7482,2017-09-11
7483,2017-07-17
7484,2018-01-21
7485,2019-12-10
7486,2017-11-24
7487,2018-10-19
7488,2017-01-21
7489,2019-09-25
7490,2018-09-24
7491,2017-05-30
7492,2019-05-24
7493,2018-05-14
7494,2019-12-10
7495,2021-11-06
7496,2017-05-08
7497,2018-12-09
7498,2019-12-17
7499,2021-11-06
7500,2019-11-04
7501,2021-11-06
7502,2017-04-08
7503,2019-10-26
7504,2018-07-10
7505,2020-02-13
7506,2019-02-04
7507,2018-08-17
7508,2019-10-25
7509,2018-08-21
7510,2018-03-04
7511,2018-01-29
7512,2021-11-06
7513,2018-04-30
7514,2019-11-12
7515,2017-10-11
7516,2020-02-14
7517,2019-02-04
7518,2021-11-06
7519,2021-11-06
7520,2021-11-06
7521,2018-01-07
7522,2018-05-21
7523,2021-11-06
7524,2020-02-02
7525,2017-06-12
7526,2018-01-24
7527,2017-07-11
7528,2018-10-05
7529,2021-11-06
7530,2017-10-09
7531,2019-08-24
7532,2018-05-05
7533,2021-11-06
7534,2021-11-06
7535,2018-03-12
7536,2021-11-06
7537,2018-11-08
7538,2017-09-13
7539,2018-02-12
7540,2018-04-01
7541,2021-11-06
7542,2019-04-10
7543,2021-11-06
7544,2021-11-06
7545,2017-06-11
7546,2019-04-05
7547,2018-11-19
7548,2021-11-06
7549,2017-02-21
7550,2021-11-06
7551,2017-11-12
7552,2018-02-17
7553,2017-10-03
7554,2019-01-09
7555,2019-04-27
7556,2021-11-06
7557,2017-04-22
7558,2021-11-06
7559,2018-05-24
7560,2021-11-06
7561,2018-11-29
7562,2019-07-09
7563,2017-02-21
7564,2017-07-04
7565,2018-07-03
7566,2017-08-22
7567,2019-07-10
7568,2019-12-24
7569,2018-03-09
7570,2019-11-24
7571,2018-09-30
7572,2019-03-03
7573,2018-07-10
7574,2018-05-12
7575,2019-03-17
7576,2018-01-18
7577,2019-12-11
7578,2019-08-07
7579,2017-10-10
7580,2019-08-18
7581,2019-10-13
7582,2019-10-27
7583,2017-08-21
7584,2019-12-07
7585,2021-11-06
7586,2021-11-06
7587,2021-11-06
7588,2017-05-20
7589,2021-11-06
7590,2018-01-13
7591,2019-06-12
7592,2019-05-11
7593,2017-06-29
7594,2019-05-30
7595,2021-11-06
7596,2017-07-12
7597,2017-10-31
7598,2019-12-24
7599,2018-10-04
7600,2017-01-18
7601,2021-11-06
7602,2018-04-08
7603,2021-11-06
7604,2017-03-26
7605,2019-05-28
7606,2021-11-06
7607,2017-10-29
7608,2019-08-11
7609,2021-11-06
7610,2021-11-06
7611,2018-08-11
7612,2017-03-16
7613,2018-11-14
7614,2019-04-11
7615,2017-08-23
7616,2017-09-12
7617,2019-06-20
7618,2021-11-06
7619,2017-01-09
7620,2018-03-19
7621,2019-01-16
7622,2018-05-01
7623,2018-01-28
7624,2019-08-03
7625,2021-11-06
7626,2018-04-02
7627,2017-08-24
7628,2018-11-27
7629,2019-03-14
7630,2021-11-06
7631,2019-02-06
7632,2018-07-06
7633,2020-02-09
7634,2019-07-26
7635,2021-11-06
7636,2018-08-31
7637,2018-10-17
7638,2017-05-21
7639,2018-03-12
7640,2018-11-06
7641,2018-12-31
7642,2017-07-09
7643,2020-01-09
7644,2021-11-06
7645,2017-06-19
7646,2018-02-21
7647,2018-04-12
7648,2018-05-31
7649,2018-06-24
7650,2021-11-06
7651,2017-03-24
7652,2021-11-06
7653,2017-09-29
7654,2021-11-06
7655,2018-03-24
7656,2017-11-09
7657,2019-12-21
7658,2019-04-16
7659,2017-08-23
7660,2019-12-21
7661,2018-11-12
7662,2019-02-28
7663,2017-05-21
7664,2021-11-06
7665,2021-11-06
7666,2019-07-05
7667,2018-07-07
7668,2017-12-19
7669,2020-01-15
7670,2019-11-03
7671,2021-11-06
7672,2019-03-02
7673,2017-10-25
7674,2019-12-06
7675,2021-11-06
7676,2017-12-06
7677,2019-06-24
7678,2021-11-06
7679,2017-07-27
7680,2017-04-03
7681,2018-05-25
7682,2021-11-06
7683,2021-11-06
7684,2021-11-06
7685,2020-01-06
7686,2018-06-26
7687,2020-01-31
7688,2021-11-06
7689,2018-07-12
7690,2019-08-28
7691,2019-12-02
7692,2019-01-23
7693,2019-06-24
7694,2017-11-29
7695,2021-11-06
7696,2017-02-03
7697,2021-11-06
7698,2018-04-13
7699,2018-02-17
7700,2017-05-29
7701,2018-02-19
7702,2019-02-05
7703,2017-01-07
7704,2017-05-26
7705,2017-08-08
7706,2017-02-11
7707,2021-11-06
7708,2020-01-06
7709,2021-11-06
7710,2018-03-16
7711,2021-11-06
7712,2018-06-18
7713,2019-03-10
7714,2017-08-13
7715,2020-01-22
7716,2019-05-26
7717,2017-06-08
7718,2019-07-10
7719,2018-11-17
7720,2021-11-06
7721,2019-04-24
7722,2018-11-05
7723,2019-09-05
7724,2017-04-24
7725,2018-04-04
7726,2017-01-21
7727,2021-11-06
7728,2021-11-06
7729,2018-01-24
7730,2019-08-30
7731,2020-02-02
7732,2019-07-11
7733,2017-06-04
7734,2018-12-31
7735,2017-07-01
7736,2018-05-21
7737,2017-08-16
7738,2021-11-06
7739,2021-11-06
7740,2021-11-06
7741,2018-05-15
7742,2018-03-16
7743,2019-11-07
7744,2017-03-28
7745,2018-05-21
7746,2017-04-17
7747,2019-10-10
7748,2020-01-15
7749,2017-01-30
7750,2017-12-30
7751,2017-05-14
7752,2021-11-06
7753,2021-11-06
7754,2021-11-06
7755,2018-12-06
7756,2021-11-06
7757,2021-11-06
7758,2019-06-07
7759,2019-03-28
7760,2017-06-30
7761,2021-11-06
7762,2021-11-06
7763,2019-08-25
7764,2017-08-05
7765,2019-09-29
7766,2018-12-02
7767,2019-08-28
7768,2018-12-09
7769,2019-11-08
7770,2019-08-31
7771,2019-11-03
7772,2021-11-06
7773,2021-11-06
7774,2019-08-11
7775,2018-02-17
7776,2021-11-06
7777,2020-01-27
7778,2017-03-08
7779,2021-11-06
7780,2020-02-18
7781,2017-09-08
7782,2018-07-08
7783,2019-08-31
7784,2019-07-14
7785,2019-07-15
7786,2019-02-28
7787,2017-09-23
7788,2018-10-03
7789,2018-01-18
7790,2021-11-06
7791,2017-04-11
7792,2018-01-11
7793,2021-11-06
7794,2018-04-18
7795,2019-02-16
7796,2017-01-30
7797,2021-11-06
7798,2021-11-06
7799,2017-01-13
7800,2019-12-03
7801,2021-11-06
7802,2017-03-23
7803,2021-11-06
7804,2018-06-25
7805,2021-11-06
7806,2018-03-03
7807,2017-02-20
7808,2019-04-23
7809,2019-01-31
7810,2019-03-27
7811,2021-11-06
7812,2021-11-06
7813,2019-11-29
7814,2021-11-06
7815,2018-01-29
7816,2018-08-11
7817,2021-11-06
7818,2017-08-02
7819,2018-12-21
7820,2017-05-28
7821,2021-11-06
7822,2018-10-22
7823,2021-11-06
7824,2018-08-30
7825,2017-03-26
7826,2017-02-17
7827,2020-01-14
7828,2019-11-08
7829,2018-04-25
7830,2019-12-11
7831,2017-06-18
7832,2019-04-28
7833,2017-05-09
7834,2017-03-07
7835,2017-02-17
7836,2017-11-30
7837,2017-09-28
7838,2019-11-18
7839,2021-11-06
7840,2018-05-17
7841,2021-11-06
7842,2018-11-19
7843,2019-03-12
7844,2018-06-10
7845,2018-07-03
7846,2018-10-26
7847,2018-06-10
7848,2017-03-30
7849,2019-04-04
7850,2017-11-18
7851,2018-09-24
7852,2018-02-10
7853,2021-11-06
7854,2018-03-24
7855,2018-04-29
7856,2017-12-22
7857,2018-02-07
7858,2021-11-06
7859,2021-11-06
7860,2019-12-07
7861,2017-04-25
7862,2018-07-29
7863,2018-06-15
7864,2018-01-21
7865,2021-11-06
7866,2018-07-07
7867,2021-11-06
7868,2017-11-16
7869,2019-08-29
7870,2019-11-07
7871,2018-10-30
7872,2019-06-16
7873,2021-11-06
7874,2017-09-01
7875,2019-02-13
7876,2021-11-06
7877,2017-02-03
7878,2021-11-06
7879,2019-12-08
7880,2018-07-13
7881,2017-07-16
7882,2017-05-13
7883,2021-11-06
7884,2021-11-06
7885,2021-11-06
7886,2019-06-12
7887,2018-09-29
7888,2017-06-14
7889,2017-05-07
7890,2019-10-27
7891,2017-05-12
7892,2021-11-06
7893,2021-11-06
7894,2017-12-18
7895,2019-04-09
7896,2018-03-03
7897,2019-01-23
7898,2019-06-26
7899,2017-11-08
7900,2018-11-23
7901,2021-11-06
7902,2021-11-06
7903,2017-12-06
7904,2021-11-06
7905,2018-03-25
7906,2019-04-01
7907,2017-08-19
7908,2017-04-17
7909,2018-07-27
7910,2018-07-14
7911,2018-09-15
7912,2017-10-23
7913,2018-01-30
7914,2019-05-21
7915,2019-06-13
7916,2017-05-10
7917,2018-04-27
7918,2017-08-06
7919,2017-01-15
7920,2017-01-26
7921,2018-02-02
7922,2021-11-06
7923,2017-02-08
7924,2021-11-06
7925,2020-02-01
7926,2018-09-28
7927,2020-02-03
7928,2018-09-29
7929,2017-02-08
7930,2019-12-16
7931,2018-03-17
7932,2021-11-06
7933,2017-02-24
7934,2018-01-10
7935,2021-11-06
7936,2017-04-25
7937,2019-01-13
7938,2018-11-03
7939,2019-09-14
7940,2018-02-18
7941,2017-07-13
7942,2020-01-29
7943,2019-10-03
7944,2017-11-30
7945,2019-05-25
7946,2017-02-13
7947,2019-11-08
7948,2018-02-15
7949,2018-11-10
7950,2018-08-21
7951,2017-04-18
7952,2019-03-19
7953,2019-11-12
7954,2018-01-08
7955,2017-03-16
7956,2018-11-09
7957,2018-04-15
7958,2017-01-22
7959,2018-09-24
7960,2021-11-06
7961,2017-06-22
7962,2017-06-26
7963,2019-01-29
7964,2017-02-08
7965,2017-04-01
7966,2017-02-12
7967,2017-01-22
7968,2017-02-08
7969,2017-01-06
7970,2021-11-06
7971,2019-12-22
7972,2021-11-06
7973,2018-04-16
7974,2021-11-06
7975,2019-03-28
7976,2021-11-06
7977,2018-09-05
7978,2018-08-25
7979,2021-11-06
7980,2017-08-04
7981,2021-11-06
7982,2017-04-18
7983,2021-11-06
7984,2019-11-21
7985,2020-01-07
7986,2019-10-17
7987,2019-09-07
7988,2021-11-06
7989,2021-11-06
7990,2017-03-09
7991,2018-12-01
7992,2017-06-25
7993,2018-10-13
7994,2017-10-26
7995,2021-11-06
7996,2018-12-11
7997,2021-11-06
7998,2019-04-17
7999,2019-04-09
8000,2021-11-06
8001,2017-01-06
8002,2018-06-20
8003,2019-01-27
8004,2017-03-16
8005,2018-01-18
8006,2019-06-15
8007,2017-06-22
8008,2019-09-01
8009,2019-10-02
8010,2021-11-06
8011,2018-10-30
8012,2018-06-22
8013,2018-12-20
8014,2019-09-18
8015,2019-08-27
8016,2021-11-06
8017,2018-10-14
8018,2017-09-07
8019,2018-07-27
8020,2019-03-20
8021,2021-11-06
8022,2018-11-09
8023,2021-11-06
8024,2018-07-30
8025,2019-05-18
8026,2019-03-01
8027,2021-11-06
8028,2018-11-19
8029,2019-10-03
8030,2021-11-06
8031,2021-11-06
8032,2018-03-07
8033,2021-11-06
8034,2021-11-06
8035,2018-03-13
8036,2018-08-07
8037,2017-09-07
8038,2019-03-31
8039,2018-08-10
8040,2019-11-22
8041,2017-08-27
8042,2018-05-09
8043,2021-11-06
8044,2017-01-17
8045,2021-11-06
8046,2019-11-14
8047,2019-05-03
8048,2017-08-30
8049,2021-11-06
8050,2019-11-27
8051,2017-12-07
8052,2019-11-20
8053,2018-12-11
8054,2018-03-28
8055,2017-05-06
8056,2017-08-02
8057,2021-11-06
8058,2017-06-05
8059,2018-06-08
8060,2019-05-07
8061,2021-11-06
8062,2021-11-06
8063,2019-05-31
8064,2021-11-06
8065,2021-11-06
8066,2021-11-06
8067,2017-09-27
8068,2021-11-06
8069,2021-11-06
8070,2019-12-23
8071,2018-03-02
8072,2018-06-07
8073,2021-11-06
8074,2018-09-22
8075,2018-03-20
8076,2021-11-06
8077,2017-08-11
8078,2018-02-27
8079,2019-07-22
8080,2018-02-09
8081,2018-10-18
8082,2021-11-06
8083,2021-11-06
8084,2018-09-13
8085,2018-02-17
8086,2019-08-03
8087,2018-02-18
8088,2021-11-06
8089,2021-11-06
8090,2019-12-13
8091,2021-11-06
8092,2019-08-30
8093,2017-10-22
8094,2017-07-09
8095,2021-11-06
8096,2017-03-30
8097,2017-04-27
8098,2018-08-31
8099,2018-06-08
8100,2018-08-21
8101,2017-04-28
8102,2021-11-06
8103,2019-12-09
8104,2019-07-06
8105,2017-06-04
8106,2017-07-14
8107,2021-11-06
8108,2017-09-01
8109,2018-01-27
8110,2019-01-09
8111,2019-07-20
8112,2019-03-26
8113,2021-11-06
8114,2017-12-07
8115,2018-03-30
8116,2021-11-06
8117,2018-01-10
8118,2021-11-06
8119,2018-04-13
8120,2021-11-06
8121,2017-08-28
8122,2017-06-12
8123,2018-03-22
8124,2019-01-01
8125,2019-07-30
8126,2019-03-31
8127,2021-11-06
8128,2017-03-24
8129,2019-03-13
8130,2018-04-06
8131,2019-05-02
8132,2021-11-06
8133,2021-11-06
8134,2018-03-27
8135,2018-09-02
8136,2018-06-27
8137,2018-11-27
8138,2019-01-11
8139,2018-09-14
8140,2021-11-06
8141,2017-12-09
8142,2019-06-21
8143,2018-09-26
8144,2018-02-24
8145,2017-03-17
8146,2018-11-12
8147,2021-11-06
8148,2017-03-08
8149,2018-09-15
8150,2019-06-08
8151,2019-08-10
8152,2019-01-20
8153,2018-06-12
8154,2017-02-21
8155,2019-03-03
8156,2018-03-04
8157,2018-07-16
8158,2017-04-28
8159,2017-01-10
8160,2020-02-14
8161,2017-12-02
8162,2021-11-06
8163,2017-03-07
8164,2017-05-24
8165,2018-05-22
8166,2018-01-09
8167,2021-11-06
8168,2017-10-07
8169,2019-12-31
8170,2017-09-09
8171,2017-08-29
8172,2018-01-20
8173,2017-08-20
8174,2017-09-26
8175,2017-04-09
